Gridcode,Andrena_carlini,Andrena_miserabilis,Andrena_violae,Osmia_atriventris,Osmia_bucephala,Osmia_lignaria,Osmia_pumila
100077,0,0,0,0,0,0,0
100078,0,0,0,0,0,0,0
100079,0,1,1,0,0,0,0
100080,0,1,0,0,0,0,0
100081,0,0,0,0,0,0,0
100082,0,0,0,0,0,0,0
100083,0,0,0,0,0,0,0
100084,0,0,0,0,0,0,0
100085,0,1,0,0,0,0,0
100086,0,0,0,0,0,0,0
100087,0,1,0,0,0,0,0
100088,0,0,0,0,0,0,0
100089,0,0,0,0,0,0,0
100090,0,0,0,0,0,0,0
100091,0,1,0,0,0,0,0
100092,0,0,0,0,0,0,0
100093,0,0,0,0,0,0,0
100094,0,0,0,0,0,0,0
100095,0,0,0,0,0,0,0
100096,0,0,0,0,0,0,0
100097,0,0,0,0,0,0,0
100098,0,1,0,0,0,0,0
100099,0,0,0,0,0,0,0
100100,0,0,0,0,0,0,0
100101,0,0,0,0,0,0,0
100102,0,0,0,0,0,0,0
100103,0,0,0,0,0,0,0
100104,0,1,0,0,0,0,0
100105,0,1,0,0,0,0,0
100106,0,0,0,0,0,0,0
100107,0,0,0,0,0,0,0
100108,0,0,0,0,0,0,0
100109,0,1,0,0,0,0,0
100110,0,1,0,0,0,0,0
100111,0,1,0,0,0,0,0
100112,0,0,0,0,0,0,0
100113,0,0,0,0,0,0,0
100114,0,1,0,0,0,0,0
100115,0,1,0,0,0,0,0
100116,0,1,0,0,0,0,0
100117,0,0,0,0,0,0,0
100118,0,1,0,0,0,0,0
100119,0,1,0,0,0,0,0
100120,0,1,0,0,0,0,0
100121,0,0,0,0,0,0,0
100122,0,0,0,0,0,0,0
100123,0,0,0,0,0,0,0
100124,0,0,0,0,0,0,0
100125,0,0,0,0,0,0,0
100126,0,0,0,0,0,0,0
100127,0,0,0,0,0,0,0
100128,0,0,0,0,0,0,0
100129,0,0,0,0,0,0,0
100130,0,0,0,0,0,0,0
100131,0,0,0,0,0,0,0
100132,0,0,0,0,0,0,0
100133,0,0,0,0,0,0,0
100134,0,0,0,0,0,0,0
100135,0,0,0,0,0,0,0
100136,0,0,0,0,0,0,0
100137,0,1,0,0,0,0,0
100138,0,0,0,0,0,0,0
100139,0,0,0,0,0,0,0
100140,0,0,0,0,0,0,0
100141,0,0,0,0,0,0,0
100142,0,0,0,0,0,0,0
100143,0,0,0,0,0,0,0
100144,0,0,0,0,0,0,0
100145,0,0,0,0,0,0,0
100146,0,0,0,0,0,0,0
100147,0,0,0,0,0,0,0
100148,0,0,0,0,0,0,0
100149,0,0,0,0,0,0,0
100150,0,0,0,0,0,0,0
100151,0,0,0,0,0,0,0
100152,0,0,0,0,0,0,0
100153,0,0,0,0,0,0,0
100154,0,0,0,0,0,0,0
100155,0,0,0,0,0,0,0
100156,0,0,0,0,0,0,0
100157,0,0,0,0,0,0,0
100158,0,0,0,0,0,0,0
100159,0,0,0,0,0,0,0
100160,0,0,0,0,0,0,0
100161,0,0,0,0,0,0,0
100162,0,0,0,0,0,0,0
100163,0,0,0,0,0,0,0
100164,0,0,0,0,0,0,0
100165,0,0,0,0,0,0,0
100166,0,0,0,0,0,0,0
100167,0,0,0,0,0,0,0
100168,0,0,0,0,0,0,0
100169,0,0,0,0,0,0,0
100170,0,0,0,0,0,0,0
100171,0,0,0,0,0,0,0
100172,0,0,0,0,0,0,0
100173,0,0,0,0,0,0,0
100174,0,0,0,0,0,0,0
100175,0,0,0,0,0,0,0
100176,0,0,0,0,0,0,0
100177,0,0,0,0,0,0,0
100178,0,0,0,0,0,0,0
100179,0,0,0,0,0,0,0
100180,0,0,0,0,0,0,0
100181,0,0,0,0,0,0,0
100182,0,0,0,0,0,0,0
100183,0,0,0,0,0,0,0
100184,0,0,0,0,0,0,0
100185,0,0,0,0,0,0,0
100186,0,0,0,0,0,0,0
100187,0,0,0,0,0,0,0
100188,0,0,0,0,0,0,0
100189,0,0,0,0,0,0,0
100190,0,0,0,0,0,0,0
100191,0,0,0,0,0,0,0
100192,0,0,0,0,0,0,0
100193,0,0,0,0,0,0,0
100194,0,0,0,0,0,0,0
100195,0,0,0,0,0,0,0
100196,0,0,0,0,0,0,0
100197,0,0,0,0,0,0,0
100198,0,0,0,0,0,0,0
100199,0,0,0,0,0,0,0
100200,0,0,1,0,0,0,0
100201,0,0,0,0,0,0,0
100202,0,0,0,0,0,0,0
100203,0,0,0,0,0,0,0
100204,0,0,0,0,0,0,0
100205,0,0,0,0,0,0,0
100206,0,0,0,0,0,0,0
100207,0,0,0,0,0,0,0
100208,0,0,0,0,0,0,0
100209,0,0,0,0,0,0,0
100210,0,0,0,0,0,0,0
100211,0,0,0,0,0,0,0
100212,0,0,0,0,0,0,0
100213,0,0,0,0,0,0,0
100214,0,0,0,0,0,0,0
100215,0,0,0,0,0,0,0
100216,0,0,0,0,0,0,0
100217,0,0,0,0,0,0,0
100218,0,0,0,0,0,0,0
100219,0,0,0,0,0,0,0
100220,0,0,0,0,0,0,0
100221,0,0,0,0,0,0,0
100222,0,0,0,0,0,0,0
100223,0,0,0,0,0,0,0
100224,0,0,0,0,0,0,0
100225,0,0,0,0,0,0,0
100226,0,0,0,0,0,0,0
100227,0,0,0,0,0,0,0
100228,0,0,0,0,0,0,0
100229,0,0,0,0,0,0,0
100230,0,0,0,0,0,0,0
100231,0,0,0,0,0,0,0
100232,0,0,0,0,0,1,0
100233,0,0,0,0,0,0,0
100234,0,0,0,0,0,1,0
100235,0,0,0,0,0,0,0
100236,0,0,0,0,0,0,0
100237,0,0,0,0,0,0,0
100238,0,1,0,1,0,1,1
100239,0,0,0,0,0,0,0
100240,0,0,0,0,0,0,0
100241,0,0,0,0,0,0,0
100242,0,0,0,0,0,0,0
100243,0,0,0,0,0,0,0
100244,0,0,0,0,0,0,0
100245,0,0,0,0,0,0,0
100246,0,0,0,1,0,0,1
100247,0,0,0,0,0,0,0
100248,0,0,0,0,0,0,0
100249,0,0,0,0,0,0,0
100250,0,1,1,0,0,0,0
100251,0,0,0,1,0,0,0
100252,0,1,0,0,0,1,0
100253,0,1,1,0,1,1,1
100254,0,0,0,0,0,0,0
100255,0,0,0,0,0,0,0
100256,0,1,0,1,0,1,1
100257,0,0,0,0,0,0,0
100258,0,0,0,0,0,0,0
100259,0,0,0,0,0,0,0
100260,0,1,0,1,0,1,1
100261,0,0,0,0,0,0,0
100262,0,0,0,0,0,0,0
100263,0,0,0,0,0,0,0
100264,0,0,0,0,0,0,0
100265,0,0,0,0,0,0,0
100266,0,0,0,0,0,0,0
100267,0,0,0,0,0,0,0
100268,0,1,1,1,0,1,1
100269,0,0,1,0,0,0,0
100270,0,0,0,0,0,0,0
100271,0,1,0,0,0,1,0
100272,0,0,0,0,0,0,0
100273,0,0,0,0,0,0,0
100274,0,0,0,0,0,1,0
100275,0,0,0,0,0,0,0
100276,0,0,0,0,0,0,0
100277,0,0,0,0,0,0,0
100278,0,0,0,0,0,1,0
100279,0,0,0,0,0,0,0
100280,0,0,0,0,0,0,0
100281,0,0,0,0,0,0,0
100282,0,0,0,0,0,0,0
100283,0,0,0,0,0,0,0
100284,0,0,0,0,0,0,0
100285,0,0,0,1,0,0,1
100286,0,0,0,1,0,0,1
100287,0,0,0,0,0,0,0
100288,0,0,0,0,0,0,0
100289,0,0,0,0,0,0,0
100290,0,0,0,0,0,0,0
100291,0,0,0,0,0,0,0
100292,0,0,0,0,0,0,0
100293,0,0,0,0,0,0,0
100294,0,0,0,0,0,0,1
100295,0,1,0,0,0,0,0
100296,0,0,0,0,0,0,0
100297,0,0,0,1,0,0,1
100298,0,0,0,1,0,0,1
100299,0,0,0,0,0,0,0
100300,0,1,0,1,0,0,1
100301,0,1,0,1,0,0,1
100302,0,0,0,0,0,0,0
100303,0,0,0,0,0,0,0
100304,0,0,0,0,0,0,0
100305,0,0,0,0,0,0,0
100306,0,0,1,1,0,0,1
100307,0,1,0,1,0,0,1
100308,0,0,0,1,0,0,1
100309,0,0,0,0,1,0,0
100310,0,0,0,0,0,0,0
100311,0,0,0,0,0,0,0
100312,1,0,0,0,0,0,0
100313,0,0,0,0,0,0,0
100314,0,0,0,0,0,0,0
100315,0,0,0,0,0,0,0
100316,0,1,1,1,0,0,1
100317,0,0,0,1,0,0,0
100318,0,0,0,0,0,0,0
100319,0,0,0,0,0,0,0
100320,0,0,0,0,0,0,0
100321,0,0,0,0,0,0,0
100322,0,0,0,0,0,0,0
100323,0,1,1,1,0,1,1
100324,0,1,0,1,0,1,1
100325,0,0,0,0,0,0,0
100326,0,0,0,0,0,0,0
100327,0,0,0,0,0,0,0
100328,0,0,0,0,0,1,0
100329,0,0,0,1,0,1,1
100330,0,0,0,1,0,0,0
100331,0,1,0,1,0,1,0
100332,0,0,0,0,0,1,0
100333,0,0,0,0,0,1,0
100334,0,0,0,0,0,0,0
100335,0,0,0,0,0,0,0
100336,0,0,0,0,0,0,0
100337,1,0,1,0,1,1,1
100338,1,1,0,0,0,1,0
100339,0,1,1,1,0,1,1
100340,0,0,0,0,0,1,0
100341,0,0,0,0,0,0,1
100342,0,1,1,1,1,0,1
100343,0,0,0,0,0,0,0
100344,0,0,0,0,0,0,0
100345,0,0,0,0,0,0,0
100346,0,0,0,0,0,0,0
100347,0,0,0,0,0,0,0
100348,0,0,0,0,0,0,0
100349,0,0,0,0,0,0,0
100350,0,1,0,0,0,0,0
100351,0,0,0,0,0,0,0
100352,0,0,0,1,0,0,0
100353,0,0,0,0,0,0,0
100354,0,0,0,1,0,0,0
100355,0,0,0,0,0,0,0
100356,0,0,0,0,0,0,0
100357,0,0,0,0,0,0,1
100358,0,0,0,1,0,0,0
100359,0,1,0,1,0,0,1
100360,1,1,0,0,0,0,0
100361,0,0,0,1,0,0,1
100362,0,0,0,0,0,0,0
100363,0,0,0,0,0,0,0
100364,0,0,0,0,0,0,0
100365,0,0,0,0,0,1,0
100366,0,0,0,0,0,0,0
100367,0,0,0,0,0,0,0
100368,0,0,0,0,0,0,0
100369,0,1,0,0,0,1,1
100370,0,1,0,1,0,1,1
100371,0,0,0,0,0,0,0
100372,0,0,0,0,0,0,0
100373,0,0,1,1,0,0,1
100374,0,0,0,0,0,0,0
100375,0,0,0,0,0,0,0
100376,0,0,0,0,0,0,0
100377,0,0,0,0,0,0,0
100378,1,1,0,1,1,1,1
100379,1,1,1,0,1,1,1
100380,0,0,0,0,1,1,1
100381,1,0,1,1,1,1,1
100382,0,0,0,0,0,0,0
100383,0,0,0,0,0,0,0
100384,0,0,0,0,0,0,0
100385,0,0,0,0,0,0,0
100386,0,0,0,0,0,0,0
100387,0,0,0,0,0,0,0
100388,0,0,0,0,0,0,1
100389,0,0,0,0,0,0,0
100390,0,0,0,0,0,0,0
100391,0,0,0,0,0,0,0
100392,0,0,0,0,0,0,0
100393,0,0,1,1,0,1,1
100394,0,0,0,0,0,0,0
100395,0,0,0,0,0,0,0
100396,0,0,0,0,0,1,0
100397,0,0,0,0,0,0,0
100398,0,0,0,0,0,0,0
100399,0,0,0,0,0,0,0
100400,0,1,0,0,1,0,0
100401,1,1,0,1,1,0,1
100402,0,0,0,0,0,1,1
100403,0,0,0,0,0,1,0
100404,0,0,0,0,0,0,0
100405,0,0,0,0,0,1,0
100406,0,0,0,0,0,0,0
100407,0,0,0,0,0,0,0
100408,0,0,0,0,0,1,0
100409,0,0,0,0,0,0,0
100410,0,0,0,0,0,1,0
100411,0,0,1,1,0,1,1
100412,1,1,1,1,0,1,1
100413,0,0,0,1,0,0,1
100414,0,0,0,0,0,0,0
100415,0,0,0,0,0,0,0
100416,0,0,0,0,0,0,0
100417,0,0,0,0,0,0,0
100418,0,0,0,0,0,0,0
100419,0,0,0,0,0,0,0
100420,1,1,0,1,0,1,1
100421,1,0,0,0,1,0,0
100422,0,0,0,0,0,1,0
100423,0,0,0,0,0,0,0
100424,0,0,0,0,0,0,0
100425,0,0,0,0,0,1,0
100426,0,0,0,0,0,0,0
100427,0,0,0,0,0,1,0
100428,0,0,0,0,0,0,0
100429,0,0,0,1,1,1,1
100430,0,1,0,0,0,0,0
100431,0,0,0,0,0,0,0
100432,0,0,0,0,0,0,0
100433,0,0,0,0,0,0,0
100434,0,0,0,0,0,0,0
100435,0,0,0,0,0,0,0
100436,0,0,0,0,0,0,0
100437,1,0,0,1,0,0,0
100438,0,0,0,0,0,0,0
100439,0,0,0,0,0,0,0
100440,0,0,0,0,0,0,0
100441,0,0,0,0,0,0,0
100442,0,0,0,0,0,0,0
100443,0,0,0,0,0,0,0
100444,0,0,0,0,0,0,0
100445,0,0,0,0,1,1,0
100446,0,0,0,0,0,0,0
100447,0,0,0,0,0,0,0
100448,0,0,0,0,0,0,0
100449,0,0,0,0,0,0,0
100450,0,0,0,0,0,0,0
100451,0,0,0,0,0,0,0
100452,0,0,0,0,0,0,0
100453,0,0,0,0,0,0,0
100454,0,0,0,0,0,0,0
100455,0,0,0,0,0,1,0
100456,0,0,0,0,0,0,0
100457,0,0,0,0,0,0,0
100458,1,0,1,0,0,0,1
100459,0,0,0,0,0,0,0
100460,0,0,0,0,0,0,0
100461,0,1,0,0,0,0,0
100462,1,0,0,0,0,0,0
100463,0,0,0,0,0,0,0
100464,0,0,0,0,0,0,0
100465,0,0,0,0,0,0,0
100466,0,0,0,0,0,1,0
100467,0,0,0,0,0,0,0
100468,0,0,0,0,0,0,0
100469,0,0,0,0,0,0,0
100470,0,0,0,0,0,0,0
100471,0,0,0,0,0,0,0
100472,0,0,0,0,1,0,1
100473,0,0,0,0,0,0,0
100474,0,0,0,0,0,0,0
100475,0,0,0,0,1,0,0
100476,0,0,0,0,1,0,0
100477,1,1,1,1,1,0,1
100478,0,0,0,0,0,0,0
100479,0,0,1,0,0,0,0
100480,0,0,0,0,0,0,0
100481,0,0,0,0,0,0,0
100482,0,0,0,0,0,0,0
100483,0,0,0,0,0,0,0
100484,0,0,0,0,0,0,0
100485,0,0,0,0,0,0,0
100486,0,0,0,0,0,0,0
100487,0,0,0,0,0,0,0
100488,0,0,0,0,0,0,0
100489,0,0,0,0,0,0,0
100490,0,0,0,0,0,0,0
100491,0,0,0,1,1,1,1
100492,0,0,0,0,0,0,0
100493,0,0,0,0,0,0,0
100494,0,0,0,0,0,1,0
100495,1,1,0,1,1,1,1
100496,0,0,1,1,0,1,1
100497,0,0,0,0,0,0,0
100498,1,0,0,0,0,0,0
100499,0,0,0,0,0,0,0
100500,0,0,0,0,0,0,0
100501,0,0,0,0,0,0,0
100502,0,0,0,0,0,0,0
100503,0,0,0,0,0,0,0
100504,0,0,0,1,0,0,1
100505,0,0,0,0,0,0,0
100506,0,0,0,0,0,0,0
100507,1,0,0,0,0,0,1
100508,0,0,0,0,0,0,0
100509,0,0,0,0,0,0,0
100510,0,0,0,0,0,0,0
100511,1,0,0,1,1,0,1
100512,0,0,0,0,0,0,0
100513,0,0,0,0,0,0,0
100514,1,1,0,0,1,0,0
100515,0,0,1,0,0,0,1
100516,0,0,0,0,0,0,0
100517,0,0,0,0,0,0,0
100518,0,0,0,0,1,0,0
100519,0,0,0,0,0,0,0
100520,0,0,0,0,0,0,0
100521,1,0,0,0,0,0,0
100522,0,0,0,0,0,0,0
100523,0,0,0,0,0,0,0
100524,0,0,0,1,0,1,0
100525,0,0,0,0,0,0,0
100526,0,0,0,0,0,1,0
100527,0,0,0,0,0,0,0
100528,0,0,0,0,0,0,0
100529,1,0,0,0,1,1,0
100530,0,0,0,1,0,0,0
100531,1,0,0,0,0,0,0
100532,0,0,0,0,0,0,0
100533,1,0,1,0,1,1,1
100534,0,0,1,0,0,0,1
100535,0,0,0,0,0,0,0
100536,0,0,0,0,0,1,0
100537,0,0,0,0,0,0,0
100538,0,0,0,0,0,0,0
100539,1,0,0,0,0,0,0
100540,0,0,0,0,0,0,0
100541,0,0,0,0,0,0,1
100542,0,1,0,0,0,0,0
100543,0,0,0,0,0,0,0
100544,0,0,0,0,0,0,0
100545,0,1,0,0,0,1,0
100546,0,1,0,0,0,0,0
100547,1,0,0,1,1,0,1
100548,1,1,0,1,0,1,1
100549,1,1,1,0,1,1,1
100550,0,0,0,0,0,0,0
100551,0,0,0,0,0,0,0
100552,1,0,1,1,1,0,1
100553,1,1,1,1,1,1,1
100554,0,0,0,0,0,0,0
100555,0,0,0,0,0,0,0
100556,0,0,0,0,0,0,0
100557,1,0,0,0,0,0,0
100558,1,1,1,1,1,0,1
100559,1,1,1,1,0,1,1
100560,1,1,1,1,0,0,1
100561,1,0,1,1,1,1,1
100562,0,1,1,0,0,1,1
100563,1,1,1,1,1,1,1
100564,0,0,0,0,0,0,0
100565,0,0,0,0,0,0,0
100566,0,0,0,0,0,0,0
100567,0,0,0,0,0,0,0
100568,1,1,0,1,0,0,1
100569,0,0,0,0,0,0,0
100570,0,0,0,0,0,0,0
100571,1,0,0,0,0,0,0
100572,1,0,1,1,0,0,1
100573,1,0,1,1,1,0,1
100574,0,0,0,0,0,0,0
100575,1,1,1,1,1,1,1
100576,1,1,1,1,1,1,1
100577,1,1,1,1,1,0,1
100578,1,1,0,1,0,0,1
100579,1,1,0,1,1,1,1
100580,1,0,0,1,0,1,1
100581,0,0,0,0,0,0,0
100582,0,0,0,0,0,0,0
100583,0,0,0,1,1,0,0
100584,0,0,0,0,0,0,0
100585,0,0,0,0,0,0,0
100586,0,0,0,0,0,0,0
100587,1,0,0,0,0,0,1
100588,1,1,0,0,1,1,1
100589,0,0,0,0,0,0,1
100590,0,0,0,0,0,0,0
100591,1,1,0,1,1,1,1
100592,1,1,0,0,0,1,0
100593,0,0,1,0,1,0,0
100594,1,1,1,1,1,1,1
100595,1,1,1,1,1,1,1
100596,1,1,1,1,1,1,1
100597,1,0,1,1,0,0,1
100598,0,0,1,1,0,0,1
100599,0,1,0,0,0,0,1
100600,0,0,0,0,0,0,0
100601,0,0,0,0,0,0,0
100602,0,0,0,0,1,0,0
100603,0,0,0,0,0,0,0
100604,1,0,0,0,0,0,0
100605,1,0,1,0,0,0,0
100606,1,1,1,1,1,1,1
100607,0,1,0,0,0,1,1
100608,1,1,1,1,1,1,1
100609,1,1,1,1,1,0,1
100610,1,0,0,0,0,1,1
100611,1,1,1,1,1,1,1
100612,1,1,1,1,1,1,1
100613,1,1,1,1,1,1,1
100614,1,1,1,1,1,1,1
100615,1,1,1,1,1,1,1
100616,1,1,0,1,0,0,1
100617,0,0,0,0,0,0,0
100618,1,0,1,1,1,0,1
100619,0,0,0,0,0,0,0
100620,0,0,0,0,0,0,0
100621,0,0,0,0,0,0,0
100622,1,1,1,1,1,1,1
100623,0,0,0,0,0,0,0
100624,1,0,0,1,0,0,1
100625,1,1,1,1,1,1,1
100626,0,0,0,0,0,0,0
100627,1,1,1,1,1,1,1
100628,1,1,1,1,1,1,1
100629,1,1,1,1,1,1,1
100630,1,0,1,1,1,1,1
100631,1,1,1,1,1,1,1
100632,1,0,1,1,0,1,1
100633,0,0,0,0,0,0,0
100634,0,0,0,0,0,0,0
100635,0,0,0,0,0,0,0
100636,0,0,0,0,1,0,0
100637,1,0,0,1,0,0,0
100638,0,1,0,0,0,0,1
100639,1,1,0,1,1,0,1
100640,0,0,0,0,0,0,0
100641,1,0,1,1,1,1,1
100642,1,0,1,1,1,1,1
100643,1,1,1,1,1,1,1
100644,1,1,1,1,1,1,1
100645,1,1,1,1,1,0,1
100646,1,1,1,1,1,1,1
100647,1,1,1,1,1,1,1
100648,1,1,1,1,1,1,1
100649,1,1,0,1,0,0,1
100650,1,1,1,0,0,0,1
100651,0,0,0,0,0,0,0
100652,1,0,0,0,0,0,1
100653,0,0,0,0,0,0,1
100654,0,0,0,0,0,0,0
100655,0,0,0,0,1,0,0
100656,1,0,0,0,1,0,0
100657,1,0,1,1,1,1,1
100658,1,1,0,1,0,0,1
100659,1,1,1,1,1,1,1
100660,1,0,0,1,1,0,0
100661,1,0,0,0,0,0,0
100662,1,0,0,0,1,1,1
100663,1,1,1,1,1,0,1
100664,1,0,0,1,0,0,1
100665,0,0,0,1,0,0,1
100666,1,1,1,1,1,0,0
100667,1,1,1,1,1,0,1
100668,1,1,1,0,1,1,1
100669,1,1,0,1,0,0,1
100670,0,1,0,0,0,0,1
100671,0,1,0,0,0,0,1
100672,1,1,0,0,1,0,0
100673,0,0,0,0,0,1,0
100674,0,0,0,0,1,1,0
100675,0,0,0,0,0,0,0
100676,0,0,0,1,1,1,1
100677,0,0,0,0,0,0,0
100678,0,0,0,0,0,0,1
100679,0,0,0,0,0,0,0
100680,0,0,0,0,0,0,0
100681,1,0,0,1,1,0,1
100682,0,0,1,0,0,0,1
100683,0,0,0,0,0,1,0
100684,1,0,0,0,1,0,0
100685,1,0,0,0,1,0,0
100686,1,0,0,0,0,0,1
100687,1,1,0,0,1,1,1
100688,1,1,0,1,0,1,1
100689,1,1,1,1,1,1,1
100690,0,1,0,1,0,0,0
100691,0,0,0,0,0,0,1
100692,1,1,0,1,1,1,0
100693,0,0,0,0,0,1,0
100694,0,0,0,0,1,0,0
100695,1,0,0,0,1,1,1
100696,0,0,0,0,0,0,0
100697,0,0,0,0,0,0,0
100698,0,0,0,0,0,1,1
100699,0,0,0,0,0,1,0
100700,0,0,1,0,1,0,1
100701,0,0,0,0,1,0,0
100702,0,0,0,0,0,0,0
100703,0,0,0,0,0,0,0
100704,1,0,0,1,0,1,0
100705,1,1,0,0,1,1,1
100706,1,0,0,1,1,0,0
100707,1,1,0,1,0,0,1
100708,1,1,0,0,0,1,0
100709,0,0,0,0,0,0,0
100710,0,1,0,0,0,0,0
100711,0,0,0,0,1,0,0
100712,0,0,0,0,0,1,0
100713,0,0,0,0,0,0,0
100714,0,0,0,0,0,0,0
100715,1,0,0,1,1,1,1
100716,0,0,0,0,0,0,0
100717,0,0,0,0,0,1,1
100718,1,0,0,1,0,0,1
100719,0,0,0,0,0,0,0
100720,0,0,0,0,0,0,0
100721,0,0,0,0,1,0,0
100722,1,0,0,0,0,0,1
100723,0,0,0,0,0,0,0
100724,0,0,0,0,0,0,1
100725,1,1,1,1,1,0,1
100726,1,1,0,1,1,1,1
100727,1,1,0,1,0,1,1
100728,0,0,0,0,0,0,0
100729,0,0,0,0,0,0,0
100730,1,0,0,0,0,0,0
100731,0,0,0,0,0,0,0
100732,0,0,1,0,0,1,0
100733,0,0,0,0,0,0,0
100734,1,1,1,1,1,0,1
100735,1,0,0,0,1,1,0
100736,1,0,0,0,1,0,0
100737,1,1,0,0,0,0,0
100738,0,0,0,0,1,0,1
100739,0,0,0,0,0,0,0
100740,0,1,0,0,0,0,0
100741,1,0,0,1,1,0,1
100742,0,0,1,0,0,0,0
100743,0,0,0,1,0,0,1
100744,1,1,0,0,0,1,0
100745,1,1,0,1,0,0,1
100746,1,1,0,1,1,1,1
100747,1,1,0,0,0,0,1
100748,1,1,0,1,0,0,1
100749,1,1,0,1,0,0,1
100750,0,0,0,0,0,0,0
100751,0,0,0,0,0,0,0
100752,0,0,0,0,0,0,0
100753,0,0,0,0,0,0,0
100754,0,0,0,0,0,0,0
100755,0,0,0,0,0,0,0
100756,0,0,0,0,0,0,0
100757,0,0,0,0,0,0,0
100758,0,0,0,0,0,0,0
100759,0,0,0,1,0,0,1
100760,1,0,0,0,0,0,1
100761,0,0,0,0,0,0,0
100762,1,0,0,0,0,1,0
100763,1,0,0,0,0,0,1
100764,0,0,0,0,0,0,0
100765,1,0,0,0,0,0,0
100766,1,0,1,1,1,0,1
100767,1,1,1,1,1,1,1
100768,1,1,0,1,1,1,1
100769,1,1,0,1,1,1,1
100770,0,0,0,0,0,0,0
100771,0,0,0,0,0,0,0
100772,0,0,0,0,0,0,0
100773,1,0,0,0,0,0,1
100774,0,0,0,0,0,0,0
100775,0,0,0,0,0,0,0
100776,0,0,0,0,0,0,0
100777,0,0,0,0,0,0,0
100778,0,0,0,0,0,0,0
100779,0,0,0,0,0,0,1
100780,0,0,0,0,0,0,0
100781,0,0,0,0,0,0,0
100782,0,0,0,0,0,0,0
100783,0,0,0,0,0,0,1
100784,1,1,0,1,1,0,1
100785,1,1,0,1,1,0,1
100786,1,0,0,1,0,0,0
100787,1,1,1,1,1,1,1
100788,1,1,0,0,1,0,1
100789,1,1,0,1,1,0,1
100790,1,1,1,1,1,1,1
100791,1,1,1,1,1,0,1
100792,1,1,1,1,1,0,1
100793,1,1,1,1,1,0,1
100794,1,0,0,1,1,0,1
100795,0,0,0,0,1,1,1
100796,0,0,0,0,0,0,0
100797,0,0,0,0,0,0,0
100798,0,0,0,0,0,0,1
100799,0,0,0,0,0,0,0
100800,0,0,0,0,0,0,0
100801,0,0,0,0,0,0,0
100802,0,0,0,0,0,0,0
100803,1,0,1,0,0,0,0
100804,1,0,0,0,0,0,1
100805,0,0,0,0,0,0,1
100806,0,0,0,0,0,0,0
100807,0,0,0,0,0,0,0
100808,0,0,0,0,0,0,0
100809,0,0,0,0,0,0,0
100810,0,0,0,0,0,0,0
100811,0,1,0,1,0,0,0
100812,0,0,0,0,0,0,0
100813,1,0,0,0,0,0,0
100814,1,0,0,1,1,0,1
