Coreid,Record_basis,Order,Family,Genus,Species,type,year,month,Day,State,longitude,latitude,altitude,presence,mean.spring.temp,mean.winter.temp,mean.temp,precip.spring,precip.total,temp.var,precip.var,Domain,Bio,Climate_zone,date,julian,mean.T,mean.P,T_anm,P_anm,Region,BIO4,BIO7,BIO10,BIO11,BIO15,BIO16,BIO17,Probability
20318388,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2008,5,11,Massachusetts,-70.879,42.269,9,1,8.012,-1.014,10.304,296.009,1499.642,8.424,50.341,Northeast,Cold,Cold,2008/5/11,132,9.887,1201.243,0.417,1.248,high,8.424,23.349,21.122,0.734,50.341,650.834,190.93,0.45682
20318389,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,5,1,Massachusetts,-70.871,42.261,0,1,10.96,-1.527,11.297,533.476,1398.309,9.311,88.312,Northeast,Cold,Cold,2010/5/1,121,9.887,1201.243,1.41,1.164,high,9.311,26.078,22.268,-0.769,88.312,733.44,128.81,0.49175
20318500,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,5,1,Massachusetts,-70.872,42.264,0,1,10.96,-1.527,11.297,533.476,1398.309,9.311,88.312,Northeast,Cold,Cold,2010/5/1,121,9.887,1201.243,1.41,1.164,high,9.311,26.078,22.268,-0.769,88.312,733.44,128.81,0.49175
20415365,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,5,1,Massachusetts,-70.887,42.261,0,1,10.96,-1.527,11.297,533.476,1398.309,9.311,88.312,Northeast,Cold,Cold,2010/5/1,121,9.887,1201.243,1.41,1.164,high,9.311,26.078,22.268,-0.769,88.312,733.44,128.81,0.49175
14201717,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1977,6,18,Connecticut,-72.996,41.447,219,1,9.824,-4.303,9.373,382.704,1419.433,9.79,45.601,Northeast,Cold,Cold,1977/6/18,169,9.469,1272.543,-0.096,1.115,medium,9.79,29.518,20.28,-4.061,45.601,575.124,184.597,0.41885
14374670,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1982,6,12,Connecticut,-72.903,41.415,56,1,8.677,0.314,9.914,302.953,1298.452,9.092,94.227,Northeast,Cold,Cold,1982/6/12,163,9.943,1247.912,-0.029,1.04,medium,9.092,29.029,20.121,-1.518,94.227,691.545,121.164,0.48458
14377256,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1970,5,20,Connecticut,-73.27,41.627,209,1,7.443,-4.262,8.579,275.827,993.434,10.217,30.529,Northeast,Cold,Cold,1970/5/20,140,8.796,1211.398,-0.217,0.82,medium,10.217,29.617,20.051,-4.778,30.529,312.504,154.599,0.41885
14226776,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1942,5,3,Connecticut,-72.993,41.321,96,1,9.837,-3.094,9.551,340.687,1354.16,9.55,43.619,Northeast,Cold,Cold,1942/5/3,123,10.273,1227.27,-0.722,1.103,medium,9.55,25.5,20.414,-3.379,43.619,509.013,171.12,0.48458
14230207,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1974,6,9,Connecticut,-73.642,41.035,52,1,9.913,1.332,10.927,326.75,1245.614,8.554,59.993,Northeast,Cold,Cold,1974/6/9,160,10.997,1214.445,-0.07,1.026,medium,8.554,24.63,21.523,0.354,59.993,524.497,142.512,0.45248
14205878,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1974,5,11,New Hampshire,-72.252,43.64,181,1,5.642,-4.493,6.855,265.007,987.832,9.751,34.208,Northeast,Cold,Cold,1974/5/11,131,7.057,968.789,-0.202,1.02,high,9.751,26.998,19.208,-4.999,34.208,350.094,156.376,0.38287
14210197,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1942,5,10,Connecticut,-72.993,41.321,96,1,9.837,-3.094,9.551,340.687,1354.16,9.55,43.619,Northeast,Cold,Cold,1942/5/10,130,10.273,1227.27,-0.722,1.103,medium,9.55,25.5,20.414,-3.379,43.619,509.013,171.12,0.48458
14232343,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1983,6,6,Massachusetts,-72.822,42.673,506,1,5.467,-5.529,6.95,561.282,1498.805,9.781,45.905,Northeast,Cold,Cold,1983/6/6,157,6.69,1215.231,0.26,1.233,high,9.781,25.835,18.928,-5.442,45.905,584.844,192.466,0.46558
14233066,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1966,6,14,Connecticut,-72.944,41.483,176,1,7.047,-2.037,9.064,218.847,1006.913,9.122,45.282,Northeast,Cold,Cold,1966/6/14,165,9.452,1282.159,-0.388,0.785,medium,9.122,25.642,20.777,-2.321,45.282,385.103,119.677,0.36871
14233100,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1970,5,20,Connecticut,-73.265,41.609,225,1,7.443,-4.262,8.579,275.827,993.434,10.217,30.529,Northeast,Cold,Cold,1970/5/20,140,8.796,1211.398,-0.217,0.82,medium,10.217,29.617,20.051,-4.778,30.529,312.504,154.599,0.41885
14221042,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1911,5,26,Massachusetts,-71.061,42.471,34,1,8.128,-2.688,9.727,185.164,1049.328,9.211,34.571,Northeast,Cold,Cold,1911/5/26,146,10.003,1155.296,-0.276,0.908,high,9.211,27.79,20.782,-1.239,34.571,378.151,165.618,0.42099
14221609,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1938,4,10,Maryland,-76.946,38.956,27,1,13.3,3.508,13.81,207.926,952.89,8.377,43.624,Mid Atlantic,Mixed-Humid,Mixed-warm,1938/4/10,100,13.26,1088.648,0.55,0.875,low,8.377,23.81,24.317,3.11,43.624,396.158,147.279,0.40187
14272251,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1964,5,17,Connecticut,-72.996,41.447,219,1,8.634,-2.981,9.199,243.754,947.768,8.836,43.832,Northeast,Cold,Cold,1964/5/17,138,9.469,1272.543,-0.27,0.745,medium,8.836,24.834,19.425,-2.192,43.832,387.902,134.686,0.41885
14284908,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1911,5,18,Massachusetts,-71.061,42.456,24,1,8.128,-2.688,9.727,185.164,1049.328,9.211,34.571,Northeast,Cold,Cold,1911/5/18,138,10.003,1155.296,-0.276,0.908,high,9.211,27.79,20.782,-1.239,34.571,378.151,165.618,0.42099
14288078,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1967,6,4,Connecticut,-73.001,41.408,184,1,5.914,-3.281,8.795,364.709,1115.014,9.152,35.407,Northeast,Cold,Cold,1967/6/4,155,9.449,1260.654,-0.654,0.884,medium,9.152,25.794,20.577,-1.546,35.407,420.49,174.331,0.48976
14289841,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1980,6,21,Connecticut,-72.906,41.424,57,1,9.345,-2.346,9.962,511.061,1109.011,9.947,78.932,Northeast,Cold,Cold,1980/6/21,173,9.943,1247.912,0.019,0.889,medium,9.947,26.67,21.798,-2.376,78.932,589.635,81.184,0.48458
14278277,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1972,6,11,New Hampshire,-72.252,43.64,181,1,4.924,-5.356,6.231,242.655,1091.652,10.281,41.596,Northeast,Cold,Cold,1972/6/11,163,7.057,968.789,-0.826,1.127,high,10.281,27.939,18.758,-6.022,41.596,432.086,148.606,0.38287
14358776,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1949,4,30,Connecticut,-72.996,41.447,219,1,9.254,-0.189,10.917,347.635,1089.113,8.815,50.484,Northeast,Cold,Cold,1949/4/30,120,9.469,1272.543,1.448,0.856,medium,8.815,23.437,22.256,0.525,50.484,452.841,117.649,0.41885
14362032,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1964,4,27,Connecticut,-73.008,41.353,117,1,9.077,-2.039,9.947,243.723,923.041,8.763,49.486,Northeast,Cold,Cold,1964/4/27,118,10.273,1227.27,-0.326,0.752,medium,8.763,24.41,20.249,-1.194,49.486,397.763,116.278,0.48976
14339236,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1906,6,16,Massachusetts,-71.02,42.496,21,1,7.05,-4.365,9.38,359.782,1104.488,9.293,36.123,Northeast,Cold,Cold,1906/6/16,167,9.824,1144.065,-0.444,0.965,high,9.293,24.81,20.516,-1.85,36.123,419.979,179.052,0.43074
14339867,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1985,5,19,Connecticut,-73.298,41.268,135,1,10.366,-2.081,10.174,212.042,1024.998,9.185,55.032,Northeast,Cold,Cold,1985/5/19,139,9.881,1225.016,0.293,0.837,medium,9.185,26.415,20.388,-2.277,55.032,431.613,104.523,0.48976
14341111,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1982,5,22,Massachusetts,-72.534,42.563,98,1,6.729,-2.081,7.816,250.736,1044.585,9.98,47.16,Northeast,Cold,Cold,1982/5/22,142,8.538,1124.079,-0.722,0.929,high,9.98,31.431,18.894,-5.043,47.16,413.301,134.909,0.46558
14341164,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1970,5,8,Connecticut,-72.966,41.367,92,1,8.415,-2.593,9.811,289.999,943.678,10.008,42.475,Northeast,Cold,Cold,1970/5/8,128,10.035,1235.257,-0.224,0.764,medium,10.008,29.108,21.325,-3.097,42.475,347.969,103.498,0.48458
14349986,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1970,5,20,Connecticut,-73.309,41.557,183,1,7.848,-3.807,8.953,279.625,991.153,10.202,33.05,Northeast,Cold,Cold,1970/5/20,140,9.229,1188.524,-0.276,0.834,medium,10.202,29.596,20.447,-4.365,33.05,322.733,141.189,0.41885
14258597,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1946,4,14,Connecticut,-72.547,41.632,232,1,9.136,-1.483,9.678,268.405,1005.559,8.614,49.814,Northeast,Cold,Cold,1946/4/14,104,9.3,1206.828,0.378,0.833,medium,8.614,24.401,19.18,-2.264,49.814,431.773,118.779,0.44408
14241384,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1942,6,13,Connecticut,-72.547,41.632,232,1,9.646,-3.571,9.244,290.999,1257.463,9.549,41.778,Northeast,Cold,Cold,1942/6/13,164,9.3,1206.828,-0.056,1.042,medium,9.549,25.255,19.973,-3.71,41.778,484.972,155.707,0.44408
14243096,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1916,4,25,Massachusetts,-71.061,42.471,34,1,6.313,-2.355,9.029,324.11,1047.018,9.474,44.703,Northeast,Cold,Cold,1916/4/25,116,10.003,1155.296,-0.974,0.906,high,9.474,26.507,20.355,-2.32,44.703,407.759,127.099,0.42099
14313719,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1966,4,16,Connecticut,-72.906,41.424,57,1,7.316,-1.315,9.479,205.142,946.664,8.986,45.543,Northeast,Cold,Cold,1966/4/16,106,9.943,1247.912,-0.464,0.759,medium,8.986,25.286,21.161,-1.584,45.543,361.924,118.85,0.48458
14314298,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1916,7,12,Massachusetts,-71.725,42.595,166,1,6.028,-4.196,8.26,267.786,1048.933,10.05,42.739,Northeast,Cold,Cold,1916/7/12,194,8.928,1117.519,-0.668,0.939,high,10.05,28.134,20.112,-3.686,42.739,409.477,127.067,0.46558
14322552,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1984,5,1,Connecticut,-73.272,41.171,16,1,8.175,0.24,11.098,566.941,1392.549,9.045,62.401,Northeast,Cold,Cold,1984/5/1,122,10.735,1192.927,0.363,1.167,medium,9.045,26.717,22.412,0.024,62.401,655.298,132.068,0.45958
14324036,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1911,4,25,Connecticut,-72.903,41.384,36,1,8.686,-2.492,10.365,231.6,1207.779,9.348,42.903,Northeast,Cold,Cold,1911/4/25,115,10.37,1228.675,-0.005,0.983,medium,9.348,26.564,21.675,-0.394,42.903,492.351,183.562,0.48458
14325742,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1967,5,28,Connecticut,-73.001,41.408,184,1,5.914,-3.281,8.795,364.709,1115.014,9.152,35.407,Northeast,Cold,Cold,1967/5/28,148,9.449,1260.654,-0.654,0.884,medium,9.152,25.794,20.577,-1.546,35.407,420.49,174.331,0.48976
14306037,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,1904,5,4,Connecticut,-72.9,41.349,16,1,8.54,-4.502,8.668,323.467,1156.001,10.587,36.478,Northeast,Cold,Cold,1904/5/4,125,10.789,1197.864,-2.121,0.965,medium,10.587,28.424,20.857,-5.048,36.478,451.978,196.873,0.48458
19265488,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2013,6,19,Connecticut,-72.08,41.902,177,1,7.736,-4.153,8.994,238.612,1172.055,9.433,62.644,Northeast,Cold,Cold,2013/6/19,170,8.683,1125.855,0.311,1.041,medium,9.433,26.665,20.68,-2.374,62.644,496.433,132.629,0.44922
20937124,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2008,4,26,Virginia,-79.913,37.41,400,1,12.709,3.042,13.202,286.977,999.134,7.828,53.459,Appalachians,Mixed-Humid,Mixed-warm,2008/4/26,117,13.318,1114.128,-0.116,0.897,low,7.828,21.239,22.962,3.732,53.459,455.592,126.008,0.45305
20937132,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2009,4,24,Virginia,-80.821,37.397,530,1,12.073,-0.892,11.789,411.166,1250.934,8.217,54.64,Appalachians,Mixed-Humid,Mixed-warm,2009/4/24,114,12.022,971.522,-0.233,1.288,low,8.217,22.475,21.354,0.928,54.64,520.802,152.47,0.46176
25909959,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2014,4,4,Maryland,-76.711,38.723,17,1,11.775,0.83,12.788,333.845,1100.075,9.266,26.349,Mid Atlantic,Mixed-Humid,Mixed-warm,2014/4/4,94,13.464,1095.191,-0.676,1.004,low,9.266,25.914,23.364,1.457,26.349,366.31,190.268,0.4387
25909961,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2014,3,21,Maryland,-76.711,38.723,17,1,11.775,0.83,12.788,333.845,1100.075,9.266,26.349,Mid Atlantic,Mixed-Humid,Mixed-warm,2014/3/21,80,13.464,1095.191,-0.676,1.004,low,9.266,25.914,23.364,1.457,26.349,366.31,190.268,0.4387
54526634,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,20,New York,-73.82,41.168,136,1,9.617,-0.247,11.959,266.399,1062.238,8.604,32.181,Northeast,Mixed-Humid,Mixed-warm,2020/4/20,111,10.732,1216.434,1.227,0.873,medium,8.604,23.888,23.283,1.756,32.181,372.65,169.416,0.4342
51855861,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2019,4,16,Pennsylvania,-75.224,40.063,81,1,11.612,2.964,12.536,367.418,1358.503,9.679,35.476,Mid Atlantic,Mixed-Humid,Mixed-warm,2019/4/16,106,12.003,1166.241,0.533,1.165,medium,9.679,26.038,23.921,1.022,35.476,471.16,169.837,0.47453
51857128,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2019,4,14,New York,-74.139,40.588,64,1,11.377,3.513,12.974,388.448,1468.128,9.561,36.411,Northeast,Mixed-Humid,Mixed-warm,2019/4/14,104,12.167,1176.819,0.807,1.248,medium,9.561,26.089,24.41,1.628,36.411,520.413,191.383,0.37269
51853083,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2019,4,14,Massachusetts,-71.119,42.43,33,1,8.664,1.418,10.687,327.932,1360.055,9.487,30.241,Northeast,Cold,Cold,2019/4/14,104,10.101,1154.565,0.586,1.178,high,9.487,26.463,22.475,-0.515,30.241,481.819,222.863,0.42099
51877768,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2019,4,22,Delaware,-75.758,39.734,77,1,11.797,2.803,12.442,379.944,1280.629,9.555,45.612,Mid Atlantic,Mixed-Humid,Mixed-warm,2019/4/22,112,11.78,1148.869,0.662,1.115,medium,9.555,25.336,23.522,1.015,45.612,477.703,118.751,0.38781
51877938,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2019,4,22,North Carolina,-82.566,35.613,643,1,14.184,6.034,14.523,291.026,1285.799,7.658,48.773,Appalachians,Mixed-Humid,Mixed-warm,2019/4/22,112,13.188,983.356,1.335,1.308,low,7.658,20.654,23.25,5.704,48.773,520.058,139.22,0.4217
50850032,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2018,4,29,New York,-73.751,40.743,35,1,10.457,2.081,12.834,359.251,1563.377,9.361,27.876,Northeast,Mixed-Humid,Mixed-warm,2018/4/29,119,11.94,1158.218,0.894,1.35,medium,9.361,26.75,24.204,2.447,27.876,510.387,268.977,0.42844
50232243,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2017,4,5,New York,-74.102,40.637,25,1,10.901,1.663,13.275,414.768,1250.417,8.743,39.883,Northeast,Mixed-Humid,Mixed-warm,2017/4/5,95,12.222,1175.77,1.053,1.063,medium,8.743,23.138,23.43,2.872,39.883,442.272,153.024,0.50415
50232276,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2017,4,5,New York,-74.099,40.636,44,1,10.901,1.663,13.275,414.768,1250.417,8.743,39.883,Northeast,Mixed-Humid,Mixed-warm,2017/4/5,95,12.222,1175.77,1.053,1.063,medium,8.743,23.138,23.43,2.872,39.883,442.272,153.024,0.50415
53558830,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,3,20,West Virginia,-77.752,39.345,109,1,10.924,1.14,12.982,260.635,1106.091,8.374,20.551,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/3/20,80,12.168,1000.611,0.814,1.105,medium,8.374,23.536,24.053,2.863,20.551,353.094,213.396,0.49959
53582893,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,3,27,Massachusetts,-71.103,42.689,51,1,8.397,-1.122,10.774,285.047,1066.485,8.833,44.951,Northeast,Cold,Cold,2020/3/27,87,9.33,1112.797,1.444,0.958,high,8.833,24,22.325,0.32,44.951,424.936,141.177,0.42905
53670717,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,1,New York,-73.643,41.221,144,1,9.264,-0.505,11.618,251.276,1121.337,8.622,38.805,Northeast,Mixed-Humid,Mixed-warm,2020/4/1,92,10.301,1205.918,1.317,0.93,medium,8.622,23.976,22.974,1.411,38.805,429.032,168.153,0.45248
53769433,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,19,Maryland,-76.939,38.354,15,1,13.581,4.005,15.45,289.816,1633.45,8.064,55.954,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/4/19,110,14.23,1043.254,1.22,1.566,low,8.064,23.009,26.192,5.711,55.954,675.415,205.861,0.46685
53783486,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,19,Maryland,-77.631,39.316,83,1,11.37,1.368,13.273,266.223,1145.011,8.295,23.199,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/4/19,110,12.395,1003.607,0.878,1.141,medium,8.295,23.849,24.299,3.191,23.199,379.833,218.4,0.47689
53773627,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,20,West Virginia,-79.921,38.639,1178,1,5.968,-4.042,7.588,401.65,1475.942,7.736,34.754,Northeast,Cold,Cold,2020/4/20,111,7.045,1410.792,0.543,1.046,low,7.736,22.096,17.289,-2.156,34.754,534.055,216.07,0.47541
53856195,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,25,Maryland,-77.089,38.578,27,1,13.228,3.431,14.876,314.472,1612.672,8.028,44.364,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/4/25,116,13.606,1082.116,1.27,1.49,low,8.028,23.125,25.501,5.038,44.364,638.685,199.618,0.4387
53724389,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,8,Maryland,-76.772,39.053,48,1,10.912,1.816,13.183,290.381,1592.268,8.402,43.382,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/4/8,99,12.467,1107.641,0.716,1.438,medium,8.402,23.73,24.366,3.219,43.382,609.322,243.009,0.40187
53706878,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,8,New York,-74.146,40.598,45,1,11.202,1.881,13.82,255.469,1246.667,8.416,53.898,Northeast,Mixed-Humid,Mixed-warm,2020/4/8,99,12.164,1178.058,1.656,1.058,medium,8.416,23.142,24.86,3.87,53.898,528.096,150.161,0.37269
53713036,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,4,6,New York,-74.123,40.583,37,1,11.214,1.741,13.811,253.031,1199.949,8.462,51.781,Northeast,Mixed-Humid,Mixed-warm,2020/4/6,97,12.167,1176.819,1.644,1.02,medium,8.462,23.256,24.925,3.766,51.781,506.875,143.88,0.37269
50865057,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2018,5,4,Delaware,-75.753,39.699,40,1,10.529,1.523,12.389,337.684,1646.477,9.589,44.738,Mid Atlantic,Mixed-Humid,Mixed-warm,2018/5/4,124,12.023,1138.873,0.366,1.446,medium,9.589,26.599,23.704,1.734,44.738,648.871,202.3,0.38781
49980139,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2016,4,23,Virginia,-77.958,38.991,206,1,11.901,3.923,12.909,270.275,1115.9,9.19,51.968,Mid Atlantic,Mixed-Humid,Mixed-warm,2016/4/23,114,11.892,1037.614,1.017,1.075,low,9.19,26.4,23.987,1.034,51.968,458.984,107.423,0.36732
53921901,HumanObservation,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2020,5,7,Maryland,-76.945,38.973,31,1,12.446,2.712,14.417,295.103,1600.746,8.301,37.33,Mid Atlantic,Mixed-Humid,Mixed-warm,2020/5/7,128,13.26,1088.648,1.157,1.47,low,8.301,23.904,25.53,4.46,37.33,601.781,234.922,0.40187
